NumberOfSpecs,6,1024,1024
Spec,0,Tahoma,78,64,190,46
69,ABC,1,12,1,751,843
70,ABC,2,12,0,764,843
71,ABC,1,13,0,777,843
72,ABC,1,12,1,791,843
73,ABC,2,10,2,804,843
74,ABC,2,12,0,815,843
75,ABC,1,13,0,828,843
76,ABC,1,12,1,842,843
77,ABC,0,14,0,855,843
78,ABC,0,14,0,870,843
79,ABC,1,12,1,885,843
80,ABC,2,11,1,898,843
81,ABC,1,12,1,910,843
82,ABC,1,13,0,923,843
83,ABC,2,10,2,937,843
84,ABC,1,12,1,948,843
85,ABC,1,13,0,961,843
86,ABC,0,14,0,975,843
87,ABC,0,14,0,990,843
88,ABC,0,13,1,1005,843
89,ABC,1,12,1,0,883
90,ABC,2,10,2,13,883
91,ABC,6,5,3,24,883
92,ABC,2,10,2,30,883
93,ABC,3,5,6,41,883
94,ABC,2,10,2,47,883
95,ABC,0,15,-1,58,883
96,ABC,5,4,5,74,883
97,ABC,1,12,1,79,883
98,ABC,0,13,1,92,883
99,ABC,2,11,1,106,883
100,ABC,1,13,0,118,883
101,ABC,1,12,1,132,883
102,ABC,2,11,1,145,883
103,ABC,1,12,1,157,883
104,ABC,1,12,1,170,883
105,ABC,2,10,2,183,883
106,ABC,2,8,4,194,883
107,ABC,2,11,1,203,883
108,ABC,2,10,2,215,883
109,ABC,0,14,0,226,883
110,ABC,1,12,1,241,883
111,ABC,1,12,1,254,883
112,ABC,0,13,1,267,883
113,ABC,1,13,0,281,883
114,ABC,2,11,1,295,883
115,ABC,2,10,2,307,883
116,ABC,1,12,1,318,883
117,ABC,1,12,1,331,883
118,ABC,0,14,0,344,883
119,ABC,0,14,0,359,883
120,ABC,1,12,1,374,883
121,ABC,1,13,0,387,883
122,ABC,2,10,2,401,883
123,ABC,4,6,4,412,883
124,ABC,6,2,6,419,883
125,ABC,4,6,4,422,883
126,ABC,2,10,2,429,883
160,ABC,0,1,13,440,883
161,ABC,5,4,5,442,883
162,ABC,2,10,2,447,883
163,ABC,1,11,2,458,883
164,ABC,2,10,2,470,883
165,ABC,0,13,1,481,883
166,ABC,6,2,6,495,883
167,ABC,1,12,1,498,883
168,ABC,3,8,3,511,883
169,ABC,0,14,0,520,883
170,ABC,3,8,3,535,883
171,ABC,1,12,1,544,883
172,ABC,0,13,1,557,883
173,ABC,2,10,2,571,883
174,ABC,0,15,-1,582,883
175,ABC,-1,16,-1,598,883
176,ABC,3,8,3,615,883
177,ABC,1,12,1,624,883
178,ABC,3,7,4,637,883
179,ABC,4,6,4,645,883
180,ABC,5,4,5,652,883
181,ABC,1,12,1,657,883
182,ABC,1,11,2,670,883
183,ABC,8,3,3,682,883
184,ABC,4,5,5,686,883
185,ABC,4,6,4,692,883
186,ABC,3,8,3,699,883
187,ABC,1,12,1,708,883
188,ABC,0,14,0,721,883
189,ABC,0,15,-1,736,883
190,ABC,0,15,-1,752,883
191,ABC,2,9,3,768,883
192,ABC,0,14,0,778,883
193,ABC,0,14,0,793,883
194,ABC,0,14,0,808,883
195,ABC,0,14,0,823,883
196,ABC,0,14,0,838,883
197,ABC,0,14,0,853,883
198,ABC,0,14,0,868,883
199,ABC,1,12,1,883,883
200,ABC,1,12,1,896,883
201,ABC,1,12,1,909,883
202,ABC,1,12,1,922,883
203,ABC,1,12,1,935,883
204,ABC,2,10,2,948,883
205,ABC,2,10,2,959,883
206,ABC,2,10,2,970,883
207,ABC,2,10,2,981,883
208,ABC,0,13,1,992,883
209,ABC,0,14,0,1006,883
210,ABC,1,12,1,0,911
211,ABC,1,12,1,13,911
212,ABC,1,12,1,26,911
213,ABC,1,12,1,39,911
214,ABC,1,12,1,52,911
215,ABC,2,9,3,65,911
216,ABC,1,12,1,75,911
217,ABC,1,13,0,88,911
218,ABC,1,13,0,102,911
219,ABC,1,13,0,116,911
220,ABC,1,13,0,130,911
221,ABC,1,12,1,144,911
222,ABC,2,11,1,157,911
223,ABC,1,11,2,169,911
224,ABC,1,12,1,181,911
225,ABC,1,12,1,194,911
226,ABC,1,12,1,207,911
227,ABC,1,12,1,220,911
228,ABC,1,12,1,233,911
229,ABC,1,12,1,246,911
230,ABC,0,14,0,259,911
231,ABC,2,11,1,274,911
232,ABC,1,12,1,286,911
233,ABC,1,12,1,299,911
234,ABC,1,12,1,312,911
235,ABC,1,12,1,325,911
236,ABC,2,10,2,338,911
237,ABC,2,10,2,349,911
238,ABC,2,10,2,360,911
239,ABC,2,10,2,371,911
240,ABC,1,12,1,382,911
241,ABC,1,12,1,395,911
242,ABC,1,12,1,408,911
243,ABC,1,12,1,421,911
244,ABC,1,12,1,434,911
245,ABC,1,12,1,447,911
246,ABC,1,12,1,460,911
247,ABC,1,12,1,473,911
248,ABC,1,12,1,486,911
249,ABC,1,12,1,499,911
250,ABC,1,12,1,512,911
251,ABC,1,12,1,525,911
252,ABC,1,12,1,538,911
253,ABC,1,13,0,551,911
254,ABC,0,13,1,565,911
Spec,4,Tahoma,26,21,190,46
32,ABC,0,1,6,579,911
33,ABC,2,3,2,581,911
34,ABC,1,6,1,585,911
35,ABC,1,13,1,592,911
36,ABC,1,10,0,606,911
37,ABC,1,19,1,617,911
38,ABC,0,15,-1,637,911
39,ABC,0,4,0,653,911
40,ABC,1,7,0,658,911
41,ABC,0,7,1,666,911
42,ABC,1,10,0,674,911
43,ABC,1,13,1,685,911
44,ABC,0,6,0,699,911
45,ABC,1,6,1,706,911
46,ABC,1,4,1,713,911
47,ABC,-1,9,0,718,911
48,ABC,0,11,0,728,911
49,ABC,2,8,1,740,911
50,ABC,1,10,0,749,911
51,ABC,1,9,1,760,911
52,ABC,0,11,0,770,911
53,ABC,1,9,1,782,911
54,ABC,0,11,0,792,911
55,ABC,1,10,0,804,911
56,ABC,0,11,0,815,911
57,ABC,0,11,0,827,911
58,ABC,2,3,2,839,911
59,ABC,1,5,1,843,911
60,ABC,2,11,2,849,911
61,ABC,2,12,1,861,911
62,ABC,2,11,2,874,911
63,ABC,1,9,0,886,911
64,ABC,1,17,1,896,911
65,ABC,-1,15,-1,914,911
66,ABC,1,12,0,930,911
67,ABC,0,13,0,943,911
68,ABC,1,13,0,957,911
69,ABC,1,11,0,971,911
70,ABC,1,10,0,983,911
71,ABC,0,13,1,994,911
72,ABC,1,12,1,1008,911
73,ABC,1,6,1,0,939
74,ABC,0,8,1,7,939
75,ABC,1,12,-1,16,939
76,ABC,1,9,0,29,939
77,ABC,1,14,1,39,939
78,ABC,1,12,1,54,939
79,ABC,0,15,0,67,939
